task_id,任务名称,岗位方向,训练技能,难度等级,任务描述,预期产出,推荐理由,依据来源
T001,数据服务平台后端接口开发,后端开发,Java;MySQL;Redis;Kafka;REST API,进阶,实现数据上报、查询和缓存接口，并模拟消息队列写入流程,后端服务;接口文档;数据库表设计;消息队列模拟说明,对应真实岗位“元宝数据平台-后台开发工程师”的服务端和数据组件能力,腾讯招聘真实岗位 JD001
T002,AI 对话界面与岗位图谱前端实现,前端开发,TypeScript;前端框架;Canvas;LLM API;Agent,进阶,实现 AI 对话界面、岗位技能图谱和模拟 LLM API 对接,前端页面;组件说明;接口联调记录,对应真实岗位“AW项目组-AI产品前端工程师”的 AI 产品前端能力,腾讯招聘真实岗位 JD002
T003,AI 应用接口测试与自动化用例生成,软件测试,Python;Pytest;Postman;自动化测试;LLM,进阶,为岗位导入、技能抽取、报告生成接口设计自动化测试，并尝试用 LLM 生成测试用例,测试脚本;Postman 集合;质量报告,对应真实岗位“元宝自动化测试工程师”的 AI+自动化测试能力,腾讯招聘真实岗位 JD003
T004,AI 人岗匹配诊断报告产品原型,AI产品,LLM;Prompt 工程;Few-shot;产品路线图;能力评估,入门,设计诊断报告生成流程、Prompt 模板和 LLM 输出评估样例,PRD;Prompt 模板;评估用例表,对应真实岗位“AI产品经理-AI生成游戏”的 LLM 产品设计能力,腾讯招聘真实岗位 JD004
T005,岗位 JD 技能频次分析看板,数据分析,Python;AB实验;指标体系;数据报表;Spark,进阶,基于岗位数据统计技能频次、方向分布和推荐效果指标,数据分析脚本;指标表;看板截图,对应真实岗位“元宝高级数据分析师”的指标体系和数据分析能力,腾讯招聘真实岗位 JD005
T006,Linux 日志 ETL 与技能热度统计任务,大数据开发,SQL;ETL;Spark;Hive;数据链路,进阶,模拟读取日志或 CSV 批量数据，完成清洗、汇总和技能热度输出,ETL 脚本;技能热度结果表;运行说明,对应真实岗位“大数据开发工程师”的 ETL 和数据链路能力,腾讯招聘真实岗位 JD006
T007,职向标本地部署与健康检查脚本,DevOps运维,Linux;Shell;Docker;Kubernetes;监控告警,进阶,编写服务启动、健康检查、日志观察和简单告警说明,部署说明;健康检查脚本;日志样例,对应真实岗位“数据库运维开发工程师”的自动化运维与监控能力,腾讯招聘真实岗位 JD007
T008,数据安全风险评估与接口权限检查,网络安全,数据安全;身份认证;数据加密;API异常检测;渗透测试,进阶,检查演示系统的数据字段、接口权限、异常访问和敏感信息暴露风险,安全检查清单;风险说明;修复建议,对应真实岗位“微信安全-数据安全工程师”的数据安全能力,腾讯招聘真实岗位 JD008
T009,SSD 固件模块测试脚本设计,嵌入式开发,C;C++;Python;Shell;嵌入式系统;自动化测试,进阶,模拟固件模块功能测试，编写 Python/Shell 自动化测试脚本和问题记录,测试脚本;模块测试记录;问题定位说明,对应真实岗位“SSD固件开发高级工程师”的固件开发与测试能力,腾讯招聘真实岗位 JD009
T010,岗位匹配分预测实验与评估报告,机器学习算法,Python;PyTorch;强化学习;模型调优;模型评估,进阶,基于样例数据构造特征，训练简单模型并输出评估指标,实验脚本;评估报告;特征说明,对应真实岗位“Game AI Research Intern”的 Python、PyTorch 和强化学习能力,腾讯招聘真实岗位 JD010
