jd_id,岗位名称,岗位方向,公司/来源,城市,发布时间,采集时间,岗位URL,岗位描述,原始职责文本,原始要求文本,抽取技能,证据句,推荐课程,推荐实训任务,是否新兴岗位候选,所属批次,依据来源,依据URL
JD001,元宝数据平台-后台开发工程师,后端开发,腾讯云智研发子公司,西安,2026-05-09,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2041847334320631808,支持元宝内部数据服务平台开发，保障数据上报质量；要求具备服务端开发经验，掌握 Go/C++/Java 之一，熟悉 MySQL、Redis、MongoDB、Kafka、RabbitMQ、Spark、ClickHouse、StarRocks。,支持元宝内部数据服务平台的各项开发工作，保障元宝数据上报质量。,计算机相关专业本科及以上；3年及以上全栈或服务端开发经验；精通 GO/C++/Java 中的一种或多种；熟悉 MySQL/Redis/MongoDB、Kafka/RabbitMQ、Spark/ClickHouse/StarRocks。,Go;C++;Java;MySQL;Redis;MongoDB;Kafka;RabbitMQ;Spark;ClickHouse;StarRocks,精通 GO/C++/Java；熟悉 MySQL/Redis/MongoDB、Kafka/RabbitMQ、Spark/ClickHouse/StarRocks,Java后端开发实战;MySQL 数据库基础;Redis 缓存实践,数据服务平台后端接口开发,否,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2041847334320631808
JD002,AW项目组-AI产品前端工程师,前端开发,腾讯,深圳,2026-05-25,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2055136913035276288,负责 Web 应用核心开发、前端架构、状态管理、复杂交互组件、Canvas 渲染、AI 对话界面与 Agent 工作流前端实现；要求掌握 TypeScript、主流前端框架、构建工具、Canvas/WebGL、AI 辅助工作流。,负责 Web 应用核心开发，搭建高质量可复用的前端架构及组件体系；对接 LLM API，参与 AI 对话界面及 Agent 工作流前端实现。,精通 TypeScript、主流前端框架及构建工具；熟悉 HTML5 Canvas/WebGL；具备良好工程素养；深度运用 AI 编程工具。,TypeScript;前端框架;构建工具;状态管理;Canvas;WebGL;LLM API;Agent;代码质量,精通 TypeScript、主流前端框架及构建工具；对接 LLM API，参与 AI 对话界面及 Agent 工作流前端实现,Vue 3 前端开发;ECharts 数据可视化入门;AI应用前端实践,AI 对话界面与岗位图谱前端实现,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2055136913035276288
JD003,元宝自动化测试工程师,软件测试,腾讯,深圳,2026-06-10,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2020809543059144704,设计覆盖 APP/PC/Web 和后台接口的自动化测试体系，研发 AI+自动化智能测试工具，维护脚本和环境，分析测试数据；要求 Python/Go、Pytest、Appium/Selenium、JMeter/Postman、AI+UI 自动化和 Agent 测试经验。,设计并落地覆盖 APP/PC/Web 多终端及后台接口的自动化测试体系；研发智能测试工具；输出质量报告，定位性能瓶颈与功能缺陷。,精通 Python/GO；熟练掌握 Pytest 或 Appium/Selenium、JMeter/Postman；有 AI+UI 自动化框架和 Agent 设计落地经验。,Python;Go;Pytest;Appium;Selenium;JMeter;Postman;自动化测试;LLM;Agent;质量报告,精通 Python/GO；熟练掌握 Pytest 或 Appium/Selenium、JMeter/Postman；研发智能测试工具,软件测试基础;Postman 接口测试;Python 自动化测试,AI 应用接口测试与自动化用例生成,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2020809543059144704
JD004,AI产品经理-AI生成游戏,AI产品,腾讯,深圳,2026-05-14,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2011285787706019840,负责 AI 生成游戏产品规划、用户旅程、LLM 对话交互、系统提示词、Few-shot 示例和 LLM 能力评估；要求了解 LLM 原理、AI 产品设计、人机交互和数据分析。,制定 AI 生成游戏产品战略；主导 LLM 对话交互设计；与 AI 工程师协作设计 LLM 系统提示词；建立 LLM 能力评估体系。,本科及以上；3年以上游戏产品或 AI 产品经理经验；了解 LLM 基本原理和应用场景；熟悉人机交互设计；具备数据分析能力。,LLM;Prompt 工程;AI产品设计;人机交互;Few-shot;数据分析;产品路线图;能力评估,主导 LLM 对话交互设计；设计 LLM 的系统提示词；建立 LLM 能力评估体系,大模型应用开发基础;Prompt 工程入门;AI产品设计基础,AI 人岗匹配诊断报告产品原型,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2011285787706019840
JD005,元宝高级数据分析师,数据分析,腾讯,北京,2026-06-02,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2006178598444224512,负责元宝业务数据分析、用户增长数据科学、AB 实验、因果推断、指标体系、数据链路、报表构建、统计机器学习方法落地和行业洞察；要求 Python/R、Hive、Spark、量化模型、增长或推荐策略分析经验。,负责元宝业务数据分析；通过 AB 实验、因果推断等方法构建评估体系；负责指标体系搭建、数据链路建设和报表构建。,3-5年以上数据科学相关经验；熟练使用 Python/R；有 AB 实验、因果推断、量化模型、增长/推荐策略分析经验；熟悉 Hive、Spark。,Python;R;AB实验;因果推断;指标体系;数据链路;数据报表;机器学习;Hive;Spark,熟练使用 Python/R；有 AB 实验、因果推断、量化模型、增长/推荐策略分析经验；熟悉 Hive、Spark,SQL 数据分析;Python pandas 数据处理;数据可视化基础,岗位 JD 技能频次分析看板,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2006178598444224512
JD006,大数据开发工程师,大数据开发,腾讯,上海,2026-05-06,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2047219099016265728,负责后端架构设计与核心功能开发，承担数据 ETL 开发与调度，保障数据链路稳定与质量；要求 C/C++/Java/Go、SQL、Spark、Hive，并对 AI 工程化、LLM 应用开发、Prompt Engineering 有兴趣。,负责后端架构设计与核心功能开发；承担数据 ETL 的开发与调度工作，保障数据链路稳定与数据质量。,计算机相关专业本科及以上；熟练掌握 C/C++/Java/Go 之一；精通 SQL；有 Spark、Hive 使用经验者优先；对 LLM 应用开发、Prompt Engineering 有实践兴趣。,C;C++;Java;Go;SQL;ETL;Spark;Hive;后端架构;LLM应用;Prompt 工程,承担数据 ETL 的开发与调度；精通 SQL；有 Spark、Hive 使用经验者优先,Spark 数据处理入门;Hive 数据仓库基础;SQL 数据分析,Linux 日志 ETL 与技能热度统计任务,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2047219099016265728
JD007,数据库运维开发工程师,DevOps运维,腾讯,深圳,2026-04-24,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2044972218131312640,开发腾讯云数据库统一运维平台与自动化工具链，覆盖部署、监控、容灾、变更、告警管理，建设监控体系、智能诊断平台和运维数据门户；要求 Go/Python、Linux、网络、Shell、MySQL，了解 Kubernetes、Docker。,开发并持续迭代腾讯云数据库统一运维平台与自动化工具链；参与建设高可用监控体系、智能诊断平台及运维数据门户。,3年以上 SRE/DevOps 或后端开发经验；精通 Go 或 Python；熟悉 Linux、TCP/HTTP、Shell；熟悉 MySQL；了解 Kubernetes、Docker。,Go;Python;Linux;TCP;HTTP;Shell;MySQL;监控告警;Docker;Kubernetes;SRE;DevOps,精通 Go 或 Python；熟悉 Linux、TCP/HTTP、Shell；了解 Kubernetes、Docker,Docker 入门与部署;Linux 运维基础;CI/CD 实践,职向标本地部署与健康检查脚本,否,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2044972218131312640
JD008,微信安全-数据安全工程师,网络安全,腾讯,广州,2026-06-08,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=1957354024948879360,建设数据资产发现、风险识别、分类分级、血缘跟踪、数据安全管控、审计治理、数据全生命周期安全策略，并持续验证安全控制措施；要求数据安全、身份认证、数据加密、API 异常检测、大数据分析、开发能力和渗透测试基础。,建设数据资产发现和风险识别能力；建设数据安全管控、审计、治理规划；参与数据全生命周期安全策略设计。,熟悉数据全生命周期安全体系；熟悉身份认证、数据加密、API 异常检测；有 Hadoop/Spark 大数据分析经验优先；具备开发能力和渗透测试基础。,数据安全;数据分类分级;数据血缘;身份认证;数据加密;API异常检测;Hadoop;Spark;渗透测试,熟悉身份认证、数据加密、API 异常检测；有 Hadoop/Spark 大数据分析经验优先,Web 安全基础;Linux 安全加固入门,数据安全风险评估与接口权限检查,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=1957354024948879360
JD009,SSD固件开发高级工程师,嵌入式开发,腾讯云,深圳,2026-06-03,2026-06-12 11:52:03 +08:00,http://careers.tencent.com/jobdesc.html?postId=2029340004978950144,负责企业级 SSD 固件设计开发、架构设计、固件算法优化、代码开发测试、自动化测试脚本、硬件兼容与主机驱动协同；要求 C/C++、Python/Shell、嵌入式系统固件、SSD 架构、NAND 闪存和 FTL 算法。,负责企业级 SSD 产品的固件设计和开发；设计和优化 SSD 固件相关算法；编写自动化测试脚本，验证固件模块功能、性能和可靠性。,计算机、电子工程相关专业；熟练掌握 C/C++、Python/Shell；5年以上嵌入式系统固件开发经验；深入理解 SSD 架构、NAND 闪存特性和 FTL 算法。,C;C++;Python;Shell;嵌入式系统;固件开发;SSD;NAND;FTL;自动化测试,熟练掌握 C/C++、Python/Shell；深入理解 SSD 架构、NAND 闪存特性和 FTL 算法,Linux C 编程入门;嵌入式系统基础,SSD 固件模块测试脚本设计,否,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=2029340004978950144
JD010,Game AI Research Intern,机器学习算法,腾讯,东京,2025-11-03,2026-06-12 11:52:03 +08:00,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Japan-Tokyo-Business-Tower/AI-Game-AI-Research-Intern_R106377-1,负责游戏场景强化学习算法探索与开发，训练 RL 模型并与团队协作达成研究目标；要求 Python、PyTorch、强化学习模型调优、多智能体强化学习或人机协作经验。,Explore and develop reinforcement learning algorithms for game contexts; train RL models on innovative and practical tasks; collaborate with team members to achieve research goals.,Hands-on experience implementing RL algorithms in Python using PyTorch; able to tune and optimize reinforcement learning models; preferred multi-agent reinforcement learning or human-AI cooperation expertise.,Python;PyTorch;强化学习;模型调优;多智能体强化学习;人机协作;英文技术沟通,Python and PyTorch experience; reinforcement learning model tuning; multi-agent reinforcement learning preferred,机器学习基础;PyTorch 入门;模型评估实践,岗位匹配分预测实验与评估报告,是,batch_real_20260612,腾讯招聘公开接口,https://careers.tencent.com/tencentcareer/api/post/ByPostId?postId=1985607970624524288
